ASSET	HOUSE	            ASSETVAL	                dist
   16	    3	  -2.386773333333334	   0.000121921131766
   16	    4	  -2.962346666666667	   0.000000000000000
   16	    5	  -3.537920000000001	   0.000000000000000
   16	    6	 -10.444800000000001	   0.002250265524410
   17	    0	   1.133333333333333	   0.000002438324886
   17	    1	  -1.160853333333334	   0.002542459925761
   17	    2	  -1.734400000000000	   0.005680735598823
   17	    3	  -2.307946666666667	   0.000131897122073
   17	    4	  -2.881493333333333	   0.000000000000000
   17	    5	  -3.455040000000001	   0.000000000000000
   17	    6	 -10.337600000000002	   0.002314137132088
   18	    0	   1.200000000000000	   0.000003917403494
   18	    1	  -1.086080000000000	   0.002519054914731
   18	    2	  -1.657600000000000	   0.005577437975190
   18	    3	  -2.229120000000000	   0.000144485814251
   18	    4	  -2.800640000000000	   0.000000000000000
   18	    5	  -3.372160000000000	   0.000000000000000
   18	    6	 -10.230400000000001	   0.002394841708026
   19	    0	   1.266666666666667	   0.000004147673530
   19	    1	  -1.011306666666667	   0.002432086620473
   19	    2	  -1.580800000000000	   0.005524754858875
   19	    3	  -2.150293333333334	   0.000159838465135
   19	    4	  -2.719786666666667	   0.000000000000000
   19	    5	  -3.289280000000001	   0.000000000000000
   19	    6	 -10.123200000000001	   0.002605895526489
   20	    0	   1.333333333333333	   0.000003708146269
   20	    1	  -0.936533333333334	   0.002383697247704
   20	    2	  -1.504000000000000	   0.005477255647652
   20	    3	  -2.071466666666667	   0.000175528333223
   20	    4	  -2.638933333333334	   0.000000000000000
   20	    5	  -3.206400000000001	   0.000000000000000
   20	    6	 -10.016000000000002	   0.002769336023964
   21	    0	   1.400000000000000	   0.000006559421676
   21	    1	  -0.861760000000000	   0.002342294293307
   21	    2	  -1.427200000000000	   0.005488601069331
   21	    3	  -1.992640000000000	   0.000188272197693
   21	    4	  -2.558080000000000	   0.000000000000000
   21	    5	  -3.123520000000001	   0.000000000000000
   21	    6	  -9.908800000000001	   0.003254150768268
   22	    0	   1.466666666666667	   0.000015857510940
   22	    1	  -0.786986666666667	   0.002310734701917
   22	    2	  -1.350400000000000	   0.005462326109503
   22	    3	  -1.913813333333334	   0.000186563427315
   22	    4	  -2.477226666666667	   0.000000000000000
   22	    5	  -3.040640000000001	   0.000000000000000
   22	    6	  -9.801600000000002	   0.003324634518509
   23	    0	   1.533333333333333	   0.000029150043335
   23	    1	  -0.712213333333333	   0.002231773524495
   23	    2	  -1.273600000000000	   0.005395683388573
   23	    3	  -1.834986666666667	   0.000209604625554
   23	    4	  -2.396373333333333	   0.000000000000000
   23	    5	  -2.957760000000000	   0.000000000000000
   23	    6	  -9.694400000000002	   0.003602160689325
   24	    0	   1.600000000000000	   0.000039525539987
   24	    1	  -0.637440000000000	   0.002181008492649
   24	    2	  -1.196800000000001	   0.005210351671583
   24	    3	  -1.756160000000001	   0.000251248975711
   24	    4	  -2.315520000000000	   0.000000000000000
   24	    5	  -2.874880000000001	   0.000000000000000
   24	    6	  -9.587200000000001	   0.003486858337729
   25	    0	   1.666666666666667	   0.000029241403450
   25	    1	  -0.562666666666667	   0.002159036798001
   25	    2	  -1.120000000000000	   0.005176389392044
   25	    3	  -1.677333333333334	   0.000264403820456
   25	    4	  -2.234666666666667	   0.000000000000000
   25	    5	  -2.792000000000000	   0.000000000000000
   25	    6	  -9.480000000000000	   0.003668700596994
   26	    0	   1.733333333333333	   0.000033003790948
   26	    1	  -0.487893333333333	   0.002135407666918
   26	    2	  -1.043200000000001	   0.005259471902069
   26	    3	  -1.598506666666667	   0.000258256628183
   26	    4	  -2.153813333333333	   0.000000000000000
   26	    5	  -2.709120000000000	   0.000000000000000
   26	    6	  -9.372800000000002	   0.003901995808940
   27	    0	   1.800000000000000	   0.000036278487088
   27	    1	  -0.413120000000000	   0.002123493955954
   27	    2	  -0.966400000000000	   0.005369079898509
   27	    3	  -1.519680000000000	   0.000287981018547
   27	    4	  -2.072960000000000	   0.000000000000000
   27	    5	  -2.626240000000001	   0.000000000000000
   27	    6	  -9.265600000000001	   0.003697481815565
   28	    0	   1.866666666666667	   0.000048596319903
   28	    1	  -0.338346666666667	   0.002086202321737
   28	    2	  -0.889600000000001	   0.005243743059685
   28	    3	  -1.440853333333334	   0.000618433203644
   28	    4	  -1.992106666666667	   0.000000000000000
   28	    5	  -2.543360000000001	   0.000000000000000
   28	    6	  -9.158400000000002	   0.003789882686205
   29	    0	   1.933333333333333	   0.000052825473714
   29	    1	  -0.263573333333333	   0.002024088695476
   29	    2	  -0.812800000000000	   0.005138609819070
   29	    3	  -1.362026666666667	   0.000666285258645
   29	    4	  -1.911253333333333	   0.000000000000000
   29	    5	  -2.460480000000000	   0.000000000000000
   29	    6	  -9.051200000000001	   0.003822396146157
   30	    0	   2.000000000000000	   0.000056919720146
   30	    1	  -0.188800000000000	   0.001980491826298
   30	    2	  -0.736000000000000	   0.004930993471501
   30	    3	  -1.283200000000001	   0.000691943904929
   30	    4	  -1.830400000000000	   0.000000000000000
   30	    5	  -2.377600000000001	   0.000000000000000
   30	    6	  -8.944000000000001	   0.003712878490461
   31	    0	   2.066666666666666	   0.000056115630475
   31	    1	  -0.114026666666667	   0.002009673881239
   31	    2	  -0.659200000000000	   0.004897283572221
   31	    3	  -1.204373333333334	   0.000766446956600
   31	    4	  -1.749546666666667	   0.000000000000000
   31	    5	  -2.294720000000000	   0.000000000000000
   31	    6	  -8.836800000000002	   0.003710567537246
   32	    0	   2.133333333333333	   0.000014668649967
   32	    1	  -0.039253333333333	   0.002065144283731
   32	    2	  -0.582400000000000	   0.004941355734798
   32	    3	  -1.125546666666667	   0.000837793778268
   32	    4	  -1.668693333333333	   0.000000000000000
   32	    5	  -2.211840000000000	   0.000000000000000
   32	    6	  -8.729600000000001	   0.003757094545690
   33	    0	   2.200000000000000	   0.000026642648677
   33	    1	   0.035520000000000	   0.001999925908042
   33	    2	  -0.505600000000001	   0.004892976841082
   33	    3	  -1.046720000000001	   0.000925403291290
   33	    4	  -1.587840000000000	   0.000000000000000
   33	    5	  -2.128960000000001	   0.000000000000000
   33	    6	  -8.622400000000001	   0.003731098754948
   34	    0	   2.266666666666667	   0.000074652052463
   34	    1	   0.110293333333333	   0.001881274219738
   34	    2	  -0.428800000000000	   0.004896817119322
   34	    3	  -0.967893333333334	   0.000986209139362
   34	    4	  -1.506986666666667	   0.000000000000000
   34	    5	  -2.046080000000000	   0.000000000000000
   34	    6	  -8.515200000000002	   0.003745236698544
   35	    0	   2.333333333333333	   0.000114755320592
   35	    1	   0.185066666666667	   0.001757023917817
   35	    2	  -0.352000000000001	   0.004848097646881
   35	    3	  -0.889066666666667	   0.001033985529844
